% 1. Title: Abyss character database
% 
% 2. Sources:
%      (a) Creator: All players of Abyss
%      (b) NeTT
% 
% 3. Relevant Information:
%    --- Data with abyss stats
% 
% 4. Number of Instances: 150 (50 in each of three classes)
% 
% 5. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 6. Attribute Information:
%    1. Player balance
%    2. Player sp
%    3. Player vitality
%    4. Player experience
%    5. Player physical defense
%    6. Player player magic defense
%    7. Player class: 
%       -- Ascended
%       -- Novice
% 
% 7. Missing Attribute Values: None

@RELATION abyss

@ATTRIBUTE balance	REAL
@ATTRIBUTE sp 	REAL
@ATTRIBUTE vit 	REAL
@ATTRIBUTE def	REAL
@ATTRIBUTE mdef	REAL
@ATTRIBUTE class 	{Novice,Ascended}

@DATA
55940,8,26,0,0,Novice
1849,156,543,94,75,Ascended
4136,268,1236,127,123,Ascended
410,25,107,14,8,Novice
3525,10,26,0,0,Novice
7344,23,83,10,7,Novice
725,74,244,24,19,Novice
1965,2,3,0,0,Novice
1385,28,71,13,14,Novice
194,167,566,60,58,Novice
2346,93,267,21,14,Novice
6973,2,8,0,0,Novice
542,137,381,37,40,Novice
1150,5,4,0,0,Novice
2415,475,1399,84,82,Ascended
4895,19,58,1,2,Novice
0,9,24,0,0,Novice
3800,4,7,0,0,Novice
11338,2,7,0,0,Novice
764,21,87,12,3,Novice
3167,44,231,15,14,Novice
2057,160,610,195,203,Novice
7577,33,87,10,6,Novice
113,241,848,75,65,Ascended
68000,0,0,0,0,Novice
64600,0,0,0,0,Novice
535,104,577,31,31,Novice
8376,5,12,0,1,Novice
15880,12,35,0,3,Novice
17395,6,10,0,0,Novice
8746,21,101,4,1,Novice
614,34,93,2,5,Novice
1220,66,286,14,11,Novice
16992,120,848,61,67,Novice
2238,152,869,69,58,Novice
305,11,58,2,3,Novice
2437,3,11,0,0,Novice
58014,67,174,6,4,Novice
147,781,4264,336,350,Ascended
7950,18,65,2,1,Novice
8876,4,22,0,0,Novice
714,5,11,0,0,Novice
74,78,277,16,31,Novice
0,66,271,0,0,Novice
46266,69,304,0,0,Novice
0,45,193,25,25,Novice
1505,52,177,15,15,Novice
11117,7,25,25,26,Novice
6912,6,20,0,1,Novice
4548,33,143,8,6,Novice
227910,504,2273,281,215,Ascended
67,38,89,4,10,Novice
47541,3,4,0,0,Novice
2908,25,58,5,3,Novice
4476,4,6,0,1,Novice
25852,6,13,0,0,Novice
6208,33,174,23,16,Novice
1491,5,14,0,0,Novice
15731,267,1798,78,74,Ascended
567,664,1854,166,143,Ascended
634,86,233,37,36,Novice
1026,41,170,37,36,Novice
21769,88,299,56,49,Novice
6704,12,52,4,2,Novice
881,865,4732,261,255,Ascended
1562,2,6,0,0,Novice
5457,252,2132,105,102,Ascended
115663,355,1147,228,233,Ascended
4428,119,560,18,29,Novice
12788,12,40,1,1,Novice
6834,23,83,8,5,Novice
358,59,181,34,31,Novice
5789,9,56,0,0,Novice
95,1980,8106,470,511,Ascended
1,136,559,130,122,Novice
6510,17,68,7,6,Novice
1766,4,7,0,0,Novice
921,52,265,25,27,Novice
6530,2,3,0,0,Novice
0,2,3,0,0,Novice
572,72,443,11,12,Novice
105,64,358,13,5,Novice
19897,291,1256,71,85,Ascended
0,3,3,0,0,Novice
102,2,3,0,0,Novice
4088,4,46,0,0,Novice
0,359,1193,120,181,Ascended
1989,360,1166,104,105,Ascended
4800,2,5,0,0,Novice
2339,3,7,0,1,Novice
21309,7,8,0,0,Novice
41308,12,35,3,7,Novice
2123,42,162,39,37,Novice
9316,67,288,42,38,Novice
2256,2,6,0,1,Novice
10687,1013,4169,657,401,Ascended
28219,223,693,106,105,Novice
7847,282,998,126,112,Novice
175,247,863,101,99,Novice
108,393,1287,135,139,Ascended
-96656,408,1368,163,136,Ascended
3108,4,8,0,0,Novice
64295,261,893,105,106,Novice
16,898,4571,602,588,Ascended
3194,804,3206,344,345,Ascended
159,433,1318,140,134,Ascended
2204,529,1805,247,253,Ascended
2795,21,130,5,4,Novice
1265,3,11,0,0,Novice
34901,778,2600,443,449,Ascended
16466,8,120,0,0,Novice
18189,2,6,0,0,Novice
27513,13,37,1,2,Novice
8321,365,1344,136,132,Ascended
17481,11,30,5,4,Novice
14705,70,175,28,19,Novice
13512,330,1052,128,128,Novice
7195,62,276,22,12,Novice
650,28,159,2,2,Novice
11,616,1844,284,284,Ascended
92304,66,290,34,35,Novice
10199,33,131,3,2,Novice
463,4,13,0,0,Novice
1885,28,96,6,1,Novice
2829,720,2340,325,321,Ascended
4626,358,1216,191,178,Ascended
8814,8,45,0,0,Novice
3627,5,17,0,0,Novice
300,4,7,0,0,Novice
33910,2,4,0,0,Novice
999,29,109,2,0,Novice
22188,40,143,3,0,Novice
5527,503,2038,209,204,Novice
12925,41,218,4,1,Novice
1144,250,773,153,102,Novice
39,342,1477,145,137,Novice
0,3256,7511,5950,5235,Novice
1224,4,6,0,0,Novice
207,9002,1013,0,0,Novice
1944,26,111,1,0,Novice
3336,52,149,6,2,Novice
65,17,55,0,0,Novice
3694,7,31,0,0,Novice
592,2,4,1,1,Novice
2309,12,49,7,4,Novice
2988,553,2074,208,209,Novice
178,35,181,1,0,Novice
78,150,752,45,42,Novice
1375,150,532,9,12,Novice
911,2,6,0,0,Novice
3101,127,624,42,14,Ascended
284,38,192,0,0,Novice
1420,2,15,0,0,Novice
712,19,98,0,0,Novice
312,83,358,14,12,Novice
77,18,49,0,0,Novice
10848,7,27,0,0,Novice
11206,16,64,0,0,Novice
86956,288,1344,74,55,Ascended
1359,113,643,29,28,Novice
1,28,163,0,0,Novice
189,47,303,0,0,Novice
10363,100,550,29,29,Novice
1553,85,377,4,4,Novice
17318,4,10,0,0,Novice
35,11,40,0,0,Novice
3882,5,11,0,0,Novice
5341,10,29,0,0,Novice
25650,2,3,0,0,Novice
7628,1585,6434,609,552,Ascended
33,4,6,0,0,Novice
2684,11,38,0,0,Novice
25666,14,75,0,0,Novice
3,607,1847,337,247,Ascended
1452,5,19,0,0,Novice
27488,98,291,1,3,Novice
1767,19,125,0,0,Novice
345,20,117,0,0,Novice
7263,160,794,25,23,Novice
6016,78,64,0,0,Novice
71,125,620,4,2,Novice
3,7,42,0,0,Novice
299,59,268,2,0,Novice
9230,8,37,0,0,Novice
410,2,5,0,0,Novice
29711,19,65,0,0,Novice
611,5,13,0,0,Novice
2200,6,5,0,0,Novice
10674,13,42,0,0,Novice
3369,4,9,0,0,Novice
9180,6,13,0,0,Novice
26607,125,698,29,26,Novice
27774,111,320,5,5,Novice
0,10,44,0,0,Novice
17714,2,3,0,0,Novice
2446,3,4,0,0,Novice
166300,0,0,0,0,Novice
26528,7,18,0,0,Novice
29301,66,235,0,0,Novice
30882,22,143,1,0,Novice
2569,6,27,0,0,Novice
117445,861,3107,231,209,Ascended
5932,8,40,0,0,Novice
66529,23,84,0,0,Novice
169236,22,73,0,1,Novice
24729,8,8,0,0,Novice
18796,2,14,0,0,Novice
29485,35,122,0,0,Novice
2743,4,12,0,0,Novice
554,11,35,0,0,Novice
110442,368,1724,162,160,Ascended
15101,16,87,0,0,Novice
7972,5,31,0,0,Novice
22089,22,57,0,0,Novice
40695,117,483,0,0,Novice
11909,29,112,0,0,Novice
13616,76,287,0,0,Novice
6261,26,95,1,1,Novice
25,57,218,0,0,Novice
1415,1024,3923,368,370,Ascended
3032,1661,6834,753,742,Ascended
1032,3266,26452,1052,1019,Ascended
50530,219,670,102,99,Novice
49,111,474,16,10,Novice
8,963,3259,321,276,Ascended
-346,87,356,0,0,Novice
155,16,65,0,0,Novice
1050,194,904,51,49,Novice
13817,408,2224,233,217,Ascended
78,14,59,0,0,Novice
149,613,2553,102,101,Ascended
32198,217,641,102,101,Novice
37876,242,735,115,106,Novice
1,190,1000,0,0,Novice
9973,73,305,9,1,Novice
39,16,60,0,0,Novice
22264,13,54,0,0,Novice
8,4,16,0,0,Novice
0,64,464,0,0,Novice
-298553,1252,5033,438,338,Ascended
7684,156,605,70,96,Novice
393,2413,10090,739,724,Ascended
319028,121,600,0,0,Novice
9972,14,59,0,0,Novice
2810,1585,5697,402,347,Ascended
5146,663,3083,117,109,Ascended
3634,6423,38531,1750,1405,Ascended
1828,20,108,0,0,Novice
2088,5774,44519,7642,7680,Ascended
14514820,180,2000,0,100,Novice
7234,25,122,0,0,Novice
6044,114,290,1,0,Novice
75717,12,44,0,1,Novice
5116,13,55,0,0,Novice
1426,1870,32458,661,626,Ascended
44713,44,184,14,17,Novice
259,105,619,27,21,Novice
21050,6,15,0,0,Novice
41338,4,16,0,0,Novice
33,121,579,45,32,Novice
17892,3,7,0,0,Novice
27700,42,166,6,3,Novice
14072,2,7,0,0,Novice
13149,25,114,4,2,Novice
3197,15,85,0,0,Novice
6537,8,40,2,4,Novice
152,280,1711,46,46,Ascended
63,282,2057,52,43,Novice
0,28,99,8,10,Novice
941,31,119,6,5,Novice
2684,271,2047,54,46,Ascended
167,432,2427,86,70,Ascended
28,131,495,37,31,Novice
225,65,275,30,21,Novice
11,46,252,23,18,Novice
8691,98,539,22,24,Novice
5874,6,45,3,4,Novice
23628,5,19,0,0,Novice
113696,22,41,7,5,Novice
45436,110,497,25,23,Novice
136,119,400,28,26,Novice
4390,5,23,2,2,Novice
6008,2,5,0,0,Novice
221644,168,524,61,76,Ascended
51868,154,607,60,67,Novice
15232,49,246,14,6,Novice
111969,174,616,56,55,Ascended
724,50,306,12,10,Novice
29707,23,72,11,3,Novice
21614,48,273,10,8,Novice
18161,241,1014,31,30,Novice
176,38,161,10,8,Novice
200,4,11,0,0,Novice
2604,32,124,6,5,Novice
2170,18,82,5,4,Novice
20728,146,492,66,61,Ascended
6939,12,41,3,0,Novice
34049,135,670,13,27,Novice
9569,5,20,0,0,Novice
10063,32,187,6,8,Novice
3977,6,17,0,0,Novice
1127,10,58,2,2,Novice
3368,74,294,17,19,Novice
19576,92,285,28,35,Novice
266,20,73,5,5,Novice
185,9,51,2,1,Novice
18633,5,16,0,0,Novice
86251,68,304,17,17,Novice
48030,17,59,4,5,Novice
21137,74,363,14,16,Novice
17647,2,10,0,0,Novice
10329,2,8,0,0,Novice
83304,73,202,30,31,Novice
26417,151,641,27,22,Novice
39758,166,706,20,28,Novice
44196,95,391,40,37,Novice
8395,74,328,6,7,Novice
54811,7,34,1,1,Novice
15050,6,30,2,11,Novice
43447,7,17,0,2,Novice
63622,7,22,2,5,Novice
6,15,59,2,4,Novice
169,6,10,2,3,Novice
2166,410,1985,98,95,Ascended
39437,214,1082,50,52,Novice
19,37,199,3,1,Novice
7888,278,1580,50,29,Ascended
547,24,79,15,15,Novice
595,148,815,45,30,Novice
9154,15,64,0,0,Novice
2846,780,2556,227,207,Ascended
6336,20,75,13,5,Novice
28810,24,109,17,6,Novice
39681,15,51,5,5,Novice
10758,5,24,0,2,Novice
11915,2,2,0,0,Novice
34,43,181,6,6,Novice
32979,42,153,9,11,Novice
6052,5,26,2,0,Novice
2337,55,211,13,13,Novice
0,83,366,13,18,Novice
0,419,2162,155,146,Ascended
252,146,785,21,13,Novice
405,198,1189,52,49,Ascended
138,99,429,23,15,Novice
0,40,182,10,12,Novice
7071,17,86,1,6,Novice
483,241,1010,58,57,Ascended
135,395,1655,146,148,Ascended
38,19,91,4,1,Novice
20774,2,9,2,2,Novice
255,302,1363,143,138,Ascended
461,332,1487,128,122,Ascended
4800,5,11,5,5,Novice
3,200,5000,100,100,Novice
6,30,2000000,0,0,Novice
8194,5,29,4,4,Novice
321,4,5,0,0,Novice
24016,3,29,0,0,Novice
46236,235,988,68,75,Ascended
18052,46,162,24,24,Novice
13293,157,650,85,80,Ascended
2508,4,17,1,2,Novice
35781,4,15,0,0,Novice
12514,20,59,7,7,Novice
65357,83,244,43,37,Novice
13714,7,12,5,5,Novice
11539,84,436,39,35,Novice
2482,5,33,0,0,Novice
44673,2,4,1,4,Novice
1,31,160,3,6,Novice
23977,13,51,5,1,Novice
18289,2,8,0,0,Novice
480,4,12,1,0,Novice
22,279,1784,52,49,Ascended
6544,2,5,0,0,Novice
30021,7,16,0,0,Novice
9470,2,5,1,0,Novice
25362,35,106,22,23,Novice
37432,61,337,23,36,Novice
236628,8,19,0,0,Novice
2,31,170,1,5,Novice
8971,2,7,0,0,Novice
1530,70,448,12,7,Novice
8584,41,259,9,11,Novice
26619,14,95,1,3,Novice
13204,69,316,28,32,Novice
40082,4,12,0,0,Novice
47456,22,92,2,3,Novice
3148,1,3,0,0,Novice
15367,2,4,0,0,Novice
6497,3,9,0,1,Novice
155,13,77,0,1,Novice
26152,6,29,3,1,Novice
6493,169,613,63,61,Novice
18625,14,77,0,3,Novice
19671,101,381,37,32,Novice
66391,87,296,39,39,Novice
9000,2,3,0,0,Novice
74367,10,34,2,0,Novice
2550,33,194,12,12,Novice
101212,36,88,8,6,Novice
18790,2,6,0,0,Novice
19775,2,3,0,0,Novice
24453,3,12,1,0,Novice
22332,7,44,6,4,Novice
174370,23,79,12,12,Novice
3,32,128,18,21,Novice
11984,2,5,0,3,Novice
8225,4,19,0,0,Novice
124,63,301,22,21,Novice
7788,277,1265,45,49,Novice
108886,312,1069,117,101,Ascended
5512,60,343,14,8,Novice
5463,4,6,0,0,Novice
4426,180,749,39,32,Novice
5226,26,104,5,4,Novice
271,25,117,3,4,Novice
4692,9,55,4,3,Novice
207,2,1,1,0,Novice
44532,12,39,8,9,Novice
3082,21,101,6,4,Novice
454,5,25,1,0,Novice
13575,255,981,87,78,Novice
18992,83,203,40,37,Novice
451,68,417,9,10,Novice
527,149,826,37,42,Novice
998,187,909,47,49,Novice
574,258,1423,47,64,Ascended
4907,38,172,12,15,Novice
17146,146,680,45,29,Novice
92,118,503,19,28,Novice
4374,36,241,6,10,Novice
62,16,130,9,9,Novice
8,41,264,5,11,Novice
1174,49,306,13,8,Novice
1389,8,35,0,0,Novice
2898,8,56,4,2,Novice
4758,97,502,40,26,Novice
14219,154,884,56,44,Novice
854,9,27,4,2,Novice
958,4,8,0,1,Novice
38812,158,487,76,66,Ascended
2034,12,97,8,7,Novice
78521,50,253,19,17,Novice
22571,46,212,24,14,Novice
51602,32,128,8,10,Novice
89957,74,253,46,40,Novice
66593,31,94,12,21,Novice
22723,6,16,0,3,Novice
88,2,10,0,0,Novice
26217,146,413,77,56,Ascended
19397,2,11,1,3,Novice
27963,2,8,0,0,Novice
335,17,54,4,5,Novice
45457,19,90,10,10,Novice
27014,7,31,3,0,Novice
75,60,384,18,22,Novice
25064,977,3346,321,276,Ascended
5459,6,36,1,3,Novice
12,12,38,2,3,Novice
53558,2,3,0,0,Novice
3687,124,689,34,28,Novice
15198,164,807,26,22,Novice
1,30,200,2000,2000,Novice
535,266,1160,64,37,Ascended
2761,209,832,53,26,Ascended
351,139,781,36,39,Novice
943,249,1647,51,56,Novice
26681,28,80,15,13,Novice
63584,20,62,1,5,Novice
55330,43,171,2,6,Novice
14383,7,29,0,2,Novice
2988,3,7,0,0,Novice
9715,4,16,0,0,Novice
20843,18,89,3,1,Novice
5902,268,1225,51,63,Novice
30394,23,96,11,4,Novice
15900,2,1,0,0,Novice
300590,81,336,9,6,Novice
16026,8,29,3,5,Novice
98408,35,74,1,2,Novice
11672,19,47,9,4,Novice
532,1291,3669,202,190,Ascended
22008,6,8,0,0,Novice
13777,22,92,12,5,Novice
16872,37,166,4,5,Novice
51396,9,51,0,3,Novice
55629,20,67,6,4,Novice
15620,6,25,0,1,Novice
786,10,31,5,4,Novice
1735,14,69,1,1,Novice
1418,9,48,5,5,Novice
2748,4,3,0,0,Novice

%
%
